name;height_m;in_service;type;p_i__barg;T_i;T_source;bus_ID;slack_bus;m_dot_i__kg_per_s;demand_m3_per_a;sink_name;sink_scaling;sink_type;sink_profile_id;x_coord;y_coord;source_bus;T_i_source
"K1227";149.04;"true";"junction";1;283.15;283.15;125;0;0;0;NaN;0;NaN;NaN;3417245.721;5369582.606;0;0
"K1228";149.2;"true";"junction";1;283.15;283.15;126;0;0;0;NaN;0;NaN;NaN;3417240.622;5369547.444;0;0
"K1229";149.16;"true";"junction";1;283.15;283.15;127;0;0;0;NaN;0;NaN;NaN;3417235.517;5369511.813;0;0
"K1230";149.12;"true";"junction";1;283.15;283.15;128;0;0;0;NaN;0;NaN;NaN;3417230.376;5369473.833;0;0
"K1231";149.16;"true";"junction";1;283.15;283.15;129;0;0;0;NaN;0;NaN;NaN;3417224.713;5369434.921;0;0
"K1233";149.49;"true";"junction";1;283.15;283.15;130;0;0;0;NaN;0;NaN;NaN;3417291.743;5369447.779;0;0
"K1234";149.12;"true";"junction";1;283.15;283.15;131;0;0;0;NaN;0;NaN;NaN;3417239.96;5369459.812;0;0
"K1235";149.92;"true";"junction";1;283.15;283.15;132;0;0;0;NaN;0;NaN;NaN;3417808.437;5369278.266;0;0
"K1236";149.73;"true";"junction";1;283.15;283.15;133;0;0;0;NaN;0;NaN;NaN;3417805.675;5369298.509;0;0
"K1237";150.43;"true";"junction";1;283.15;283.15;134;0;0;0;NaN;0;NaN;NaN;3417817.865;5369209.01;0;0
"K1238";150.35;"true";"junction";1;283.15;283.15;135;0;0;0;NaN;0;NaN;NaN;3417781.38;5369215.641;0;0
"K1239";150.17;"true";"junction";1;283.15;283.15;136;0;0;0;NaN;0;NaN;NaN;3417782.048;5369234.833;0;0
"K1240";150.06;"true";"junction";1;283.15;283.15;137;0;0;0;NaN;0;NaN;NaN;3417748.627;5369241.104;0;0
"K1241";149.81;"true";"junction";1;283.15;283.15;138;0;0;0;NaN;0;NaN;NaN;3417725.585;5369237.084;0;0
"K1243";149.91;"true";"junction";1;283.15;283.15;139;0;0;0;NaN;0;NaN;NaN;3417652.163;5369232.635;0;0
"K1244";149.84;"true";"junction";1;283.15;283.15;140;0;0;0;NaN;0;NaN;NaN;3417628.946;5369238.2;0;0
"K1245";149.55;"true";"junction";1;283.15;283.15;141;0;0;0;NaN;0;NaN;NaN;3417578.962;5369249.671;0;0
"K1246";149.87;"true";"junction";1;283.15;283.15;142;0;0;0;NaN;0;NaN;NaN;3417554.431;5369251.481;0;0
"K1247";148.98;"true";"junction";1;283.15;283.15;143;0;0;0;NaN;0;NaN;NaN;3417548.758;5369252.339;0;0
"K1249";148.92;"true";"junction";1;283.15;283.15;144;0;0;0;NaN;0;NaN;NaN;3417515.162;5369253.159;0;0
"K1250";148.96;"true";"junction";1;283.15;283.15;145;0;0;0;NaN;0;NaN;NaN;3417541.276;5369251.907;0;0
"K1252";148.36;"true";"junction";1;283.15;283.15;146;0;0;0;NaN;0;NaN;NaN;3417278.085;5369800.243;0;0
"K1253";148.62;"true";"junction";1;283.15;283.15;147;0;0;0;NaN;0;NaN;NaN;3417287.785;5369882.004;0;0
"K1254";148.55;"true";"junction";1;283.15;283.15;148;0;0;0;NaN;0;NaN;NaN;3417283.053;5369838.228;0;0
"K1255";149.01;"true";"junction";1;283.15;283.15;149;0;0;0;NaN;0;NaN;NaN;3417439.142;5370078.517;0;0
"K1256";149.29;"true";"junction";1;283.15;283.15;150;0;0;0;NaN;0;NaN;NaN;3417483.886;5370073.166;0;0
"K1257";149.26;"true";"junction";1;283.15;283.15;151;0;0;0;NaN;0;NaN;NaN;3417470.871;5369984.091;0;0
"K1258";149.61;"true";"junction";1;283.15;283.15;152;0;0;0;NaN;0;NaN;NaN;3417469.498;5369924.914;0;0
"K1260";148.53;"true";"junction";1;283.15;283.15;153;0;0;0;NaN;0;NaN;NaN;3417449.531;5369987.691;0;0
"K1261";149.91;"true";"junction";1;283.15;283.15;154;0;0;0;NaN;0;NaN;NaN;3417565.168;5370023.59;0;0
"K1262";149.7;"true";"junction";1;283.15;283.15;155;0;0;0;NaN;0;NaN;NaN;3417554.39;5369948.106;0;0
"K1264";149.59;"true";"junction";1;283.15;283.15;156;0;0;0;NaN;0;NaN;NaN;3417542.138;5369876.403;0;0
"K1265";149.61;"true";"junction";1;283.15;283.15;157;0;0;0;NaN;0;NaN;NaN;3417539.738;5369851.538;0;0
"K1266";149.74;"true";"junction";1;283.15;283.15;158;0;0;0;NaN;0;NaN;NaN;3417536.429;5369834.203;0;0
"K1267";149.38;"true";"junction";1;283.15;283.15;159;0;0;0;NaN;0;NaN;NaN;3417481.374;5369984.72;0;0
"K1268";149.63;"true";"junction";1;283.15;283.15;160;0;0;0;NaN;0;NaN;NaN;3417512.846;5369981.569;0;0
"K1269";149.74;"true";"junction";1;283.15;283.15;161;0;0;0;NaN;0;NaN;NaN;3417540.643;5369979.907;0;0
"K1270";149.86;"true";"junction";1;283.15;283.15;162;0;0;0;NaN;0;NaN;NaN;3417558.577;5369977.393;0;0
"K1274";149.85;"true";"junction";1;283.15;283.15;163;0;0;0;NaN;0;NaN;NaN;3417582.775;5369898.049;0;0
"K1275";149.89;"true";"junction";1;283.15;283.15;164;0;0;0;NaN;0;NaN;NaN;3417586.111;5369926.713;0;0
"K1276";149.66;"true";"junction";1;283.15;283.15;165;0;0;0;NaN;0;NaN;NaN;3417551.577;5369930.898;0;0
"K1287";148.24;"true";"junction";1;283.15;283.15;166;0;0;0;NaN;0;NaN;NaN;3417035.707;5370069.912;0;0
"K1288";148.11;"true";"junction";1;283.15;283.15;167;0;0;0;NaN;0;NaN;NaN;3417002.551;5370031.874;0;0
"K1289";147.85;"true";"junction";1;283.15;283.15;168;1;-0.098956013333333;0;NaN;0;NaN;NaN;3416969.834;5369989.131;1;283.15
"K1290";147.73;"true";"junction";1;283.15;283.15;169;0;0;0;NaN;0;NaN;NaN;3416954.219;5369966.339;0;0
"K1385";149.83;"true";"junction";1;283.15;283.15;170;0;0;0;NaN;0;NaN;NaN;3416902.779;5369635.247;0;0
"K1386";149.42;"true";"junction";1;283.15;283.15;171;0;0;0;NaN;0;NaN;NaN;3416917.182;5369632.051;0;0
"K1387";148.96;"true";"junction";1;283.15;283.15;172;0;0;0;NaN;0;NaN;NaN;3417179.852;5369455.515;0;0
"K1388";149;"true";"junction";1;283.15;283.15;173;0;0;0;NaN;0;NaN;NaN;3417177.737;5369423.619;0;0
"K1040";149.01;"true";"junction";1;283.15;283.15;174;0;0;0;NaN;0;NaN;NaN;3417171.487;5369397.578;0;0
"CON0000015F281E815E48";149.35;"true";"junction";1;283.15;283.15;175;0;0;0;NaN;0;NaN;NaN;3416884.066;5369644.448;0;0
"CON0000355F281E819689";149.53;"true";"junction";1;283.15;283.15;176;0;0;0;NaN;0;NaN;NaN;3416890.92036;5369641.07778;0;0
"CON0000065F281E8163E3";149.25;"true";"junction";1;283.15;283.15;177;0;0;0;NaN;0;NaN;NaN;3417464.02865;5369574.32037;0;0
"CON00016D5F281E83537D";149.2;"true";"junction";1;283.15;283.15;178;0;0;0;NaN;0;NaN;NaN;3417470.85163;5369597.16656;0;0
"CON0005BC5F281E8D29BB";149.18;"true";"junction";1;283.15;283.15;179;0;0;0;NaN;0;NaN;NaN;3417473.163;5369604.906;0;0
"CON0005BD5F281E8D2C20";149.2;"true";"junction";1;283.15;283.15;180;0;0;0;NaN;0;NaN;NaN;3417470.42743;5369595.74618;0;0
"CON0001FD5F281E844FDD";149.17;"true";"junction";1;283.15;283.15;181;0;0;0;NaN;0;NaN;NaN;3417241.43953;5369553.08155;0;0
"CON0002675F281E851035";149.13;"true";"junction";1;283.15;283.15;182;0;0;0;NaN;0;NaN;NaN;3417242.76931;5369562.25155;0;0
"CON0002755F281E8528A2";149.16;"true";"junction";1;283.15;283.15;183;0;0;0;NaN;0;NaN;NaN;3417241.94559;5369556.57132;0;0
"CON00029D5F281E857BF0";149.19;"true";"junction";1;283.15;283.15;184;0;0;0;NaN;0;NaN;NaN;3417240.87423;5369549.18334;0;0
"CON0002A35F281E85878F";149.13;"true";"junction";1;283.15;283.15;185;0;0;0;NaN;0;NaN;NaN;3417242.9335;5369563.38375;0;0
"CON0002A95F281E8597B4";149.11;"true";"junction";1;283.15;283.15;186;0;0;0;NaN;0;NaN;NaN;3417243.57474;5369567.80572;0;0
"CON0000625F281E81D1B9";148.42;"true";"junction";1;283.15;283.15;187;0;0;0;NaN;0;NaN;NaN;3417276.43182;5369790.44766;0;0
"CON00006C5F281E81DDB4";148.74;"true";"junction";1;283.15;283.15;188;0;0;0;NaN;0;NaN;NaN;3417267.85;5369739.599;0;0
"CON0000735F281E81E5FA";148.62;"true";"junction";1;283.15;283.15;189;0;0;0;NaN;0;NaN;NaN;3417271.15624;5369759.18902;0;0
"CON0000745F281E81E71D";148.58;"true";"junction";1;283.15;283.15;190;0;0;0;NaN;0;NaN;NaN;3417272.09208;5369764.734;0;0
"CON00007B5F281E81EFE9";148.69;"true";"junction";1;283.15;283.15;191;0;0;0;NaN;0;NaN;NaN;3417269.06832;5369746.81771;0;0
"CON00007C5F281E81F0F2";148.43;"true";"junction";1;283.15;283.15;192;0;0;0;NaN;0;NaN;NaN;3417276.25389;5369789.3934;0;0
"CON00008C5F281E820531";148.67;"true";"junction";1;283.15;283.15;193;0;0;0;NaN;0;NaN;NaN;3417269.82658;5369751.31055;0;0
"CON0000115F281E816F73";148.96;"true";"junction";1;283.15;283.15;194;0;0;0;NaN;0;NaN;NaN;3417179.61166;5369451.89043;0;0
"CON0000125F281E817072";148.99;"true";"junction";1;283.15;283.15;195;0;0;0;NaN;0;NaN;NaN;3417178.39621;5369433.56042;0;0
"CON0000175F281E8175C2";148.99;"true";"junction";1;283.15;283.15;196;0;0;0;NaN;0;NaN;NaN;3417178.3273;5369432.52116;0;0
"CON0000185F281E8176A2";148.97;"true";"junction";1;283.15;283.15;197;0;0;0;NaN;0;NaN;NaN;3417179.28545;5369446.9709;0;0
"CON00000E5F281E816C36";148.81;"true";"junction";1;283.15;283.15;198;0;0;0;NaN;0;NaN;NaN;3417127.47304;5369515.87483;0;0
"CON00001F5F281E817E27";148.82;"true";"junction";1;283.15;283.15;199;0;0;0;NaN;0;NaN;NaN;3417127.75605;5369517.05291;0;0
"CON0000225F281E818186";148.79;"true";"junction";1;283.15;283.15;200;0;0;0;NaN;0;NaN;NaN;3417126.15505;5369510.38842;0;0
"CON0000235F281E818298";148.92;"true";"junction";1;283.15;283.15;201;0;0;0;NaN;0;NaN;NaN;3417134.06702;5369543.32366;0;0
"CON0000285F281E81880A";148.89;"true";"junction";1;283.15;283.15;202;0;0;0;NaN;0;NaN;NaN;3417132.16878;5369535.42184;0;0
"CON0000295F281E818933";148.87;"true";"junction";1;283.15;283.15;203;0;0;0;NaN;0;NaN;NaN;3417130.87685;5369530.04389;0;0
"CON0001675F281E834AFC";148.84;"true";"junction";1;283.15;283.15;204;0;0;0;NaN;0;NaN;NaN;3417129.06987;5369522.52199;0;0
